X,Y,Z
0,0,5
24,76,5
24,76,0
28,76,0
28,76,5
75,76,5
75,76,0
74,76,0
74,76,5
26,76,5
26,76,0
22,76,0
22,76,5
17,75,5
17,75,0
25,75,0
25,75,5
71,75,5
71,75,0
72,75,0
72,75,5
74,75,5
74,75,0
75,75,0
75,75,5
72,75,5
72,75,0
71,75,0
71,75,5
69,75,5
69,75,0
68,75,0
68,75,5
23,75,5
23,75,0
16,75,0
16,75,5
16,74,5
16,74,0
25,74,0
25,74,5
64,74,5
64,74,0
66,74,0
66,74,5
68,74,5
68,74,0
69,74,0
69,74,5
66,74,5
66,74,0
64,74,0
64,74,5
62,74,5
62,74,0
61,74,0
61,74,5
25,74,5
25,74,0
14,74,0
14,74,5
12,73,5
12,73,0
15,73,0
15,73,5
16,73,5
16,73,0
25,73,0
25,73,5
58,73,5
58,73,0
59,73,0
59,73,5
61,73,5
61,73,0
62,73,0
62,73,5
59,72,5
59,72,0
58,72,0
58,72,5
56,72,5
56,72,0
55,72,0
55,72,5
24,72,5
24,72,0
10,72,0
10,72,5
8,72,5
8,72,0
12,72,0
12,72,5
14,72,5
14,72,0
22,72,0
22,72,5
51,72,5
51,72,0
52,72,0
52,72,5
54,72,5
54,72,0
56,72,0
56,72,5
52,71,5
52,71,0
51,71,0
51,71,5
36,71,5
36,71,0
36,71,5
22,71,5
22,71,0
14,71,0
14,71,5
10,71,5
10,71,0
6,71,0
6,71,5
5,71,5
5,71,0
4,71,0
4,71,5
3,70,5
3,70,0
9,70,0
9,70,5
14,70,5
14,70,0
22,70,0
22,70,5
22,70,0
20,70,0
20,70,5
19,70,5
19,70,0
14,70,0
14,70,5
10,70,5
10,70,0
2,70,0
2,70,5
2,69,5
2,69,0
10,69,0
10,69,5
14,69,5
14,69,0
19,69,0
19,69,5
20,69,5
20,69,0
22,69,0
22,69,5
22,69,0
20,69,0
20,69,5
19,69,5
19,69,0
13,69,0
13,69,5
10,69,5
10,69,0
2,69,0
2,69,5
1,68,5
1,68,0
9,68,0
9,68,5
14,68,5
14,68,0
18,68,0
18,68,5
20,68,5
20,68,0
22,68,0
22,68,5
33,68,5
33,68,0
32,68,0
32,68,5
23,68,5
23,68,0
20,68,0
20,68,5
18,68,5
18,68,0
14,68,0
14,68,5
0,67,5
0,67,0
10,67,0
10,67,5
11,67,5
11,67,0
12,67,0
12,67,5
14,67,5
14,67,0
18,67,0
18,67,5
20,67,5
20,67,0
23,67,0
23,67,5
30,67,5
30,67,0
39,67,0
39,67,5
41,66,5
41,66,0
29,66,0
29,66,5
26,66,5
26,66,0
25,66,0
25,66,5
25,66,0
25,66,5
23,66,5
23,66,0
20,66,0
20,66,5
18,66,5
18,66,0
1,66,0
1,66,5
1,66,0
18,66,0
18,66,5
20,66,5
20,66,0
23,66,0
23,66,5
24,66,5
24,66,0
26,66,0
26,66,5
27,66,5
27,66,0
42,66,0
42,66,5
43,65,5
43,65,0
25,65,0
25,65,5
23,65,5
23,65,0
20,65,0
20,65,5
18,65,5
18,65,0
2,65,0
2,65,5
2,64,5
2,64,0
18,64,0
18,64,5
20,64,5
20,64,0
23,64,0
23,64,5
25,64,5
25,64,0
44,64,0
44,64,5
45,64,5
45,64,0
24,64,0
24,64,5
23,64,5
23,64,0
20,64,0
20,64,5
17,64,5
17,64,0
3,64,0
3,64,5
3,63,5
3,63,0
18,63,0
18,63,5
20,63,5
20,63,0
20,63,5
21,63,5
21,63,0
23,63,0
23,63,5
23,63,0
32,63,0
32,63,5
41,63,5
41,63,0
46,63,0
46,63,5
46,63,0
43,63,0
43,63,5
38,63,5
38,63,0
23,63,0
23,63,5
18,63,5
18,63,0
3,63,0
3,63,5
3,62,5
3,62,0
18,62,0
18,62,5
20,62,5
20,62,0
31,62,0
31,62,5
32,62,5
32,62,0
33,62,0
33,62,5
43,62,5
43,62,0
43,62,5
45,62,5
45,62,0
46,62,0
46,62,5
47,62,5
47,62,0
45,62,0
45,62,5
31,62,5
31,62,0
31,62,5
29,62,5
29,62,0
20,62,0
20,62,5
18,62,5
18,62,0
4,62,0
4,62,5
4,61,5
4,61,0
18,61,0
18,61,5
20,61,5
20,61,0
28,61,0
28,61,5
29,61,5
29,61,0
40,61,0
40,61,5
45,61,5
45,61,0
47,61,0
47,61,5
47,60,5
47,60,0
45,60,0
45,60,5
44,60,5
44,60,0
43,60,0
43,60,5
